"time","cases"
1,2
2,1
3,2
4,0
5,1
6,7
7,6
8,2
9,0
10,2
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,3
19,2
20,1
21,13
22,17
23,52
24,84
25,132
26,154
27,149
28,161
29,104
30,49
31,23
32,20
33,8
34,3
35,5
36,2
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,0
